,Lithology_(main),Hydrocarbon_type_(main),Tectonic_regime,Structural_setting,Region,Permeability_(air_average_mD),Porosity_(matrix_average_%),Depth_(top_reservoir_ft_TVD),Thickness_(gross_average_ft),Thickness_(net_pay_average_ft),Reservoir_period
51,SANDSTONE,OIL,GRAVITY,DELTA,NORTH AMERICA,4350.0,26.25,4089.999999999999,1152.0,140.0,JURASSIC
52,SANDSTONE,OIL,EXTENSION,INTRACRATONIC,EUROPE,4350.0,17.5,8763.5,245.0,71.5,CRETACEOUS
53,DOLOMITE,OIL,GRAVITY,SALT,LATIN AMERICA,850.0,26.25,6288.5,7000.0,140.0,PALEOGENE
54,SANDSTONE,OIL,INVERSION,INVERSION,FAR EAST,161.0,17.5,4089.999999999999,7000.0,140.0,CARBONIFEROUS
55,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,850.0,41.5,1320.5,160.0,71.5,CRETACEOUS
56,SANDSTONE,GAS-CONDENSATE,INVERSION,RIFT,EUROPE,361.0,17.5,15389.0,46.5,29.75,JURASSIC
57,CONGLOMERATE,GAS,COMPRESSION,SUB-SALT,AFRICA,4350.0,26.25,8763.5,475.0,337.5,CRETACEOUS
58,LIMESTONE,OIL,INVERSION,SUB-SALT,EUROPE,14.0,15.0,2960.5,160.0,71.5,JURASSIC
59,SHALY SANDSTONE,OIL,GRAVITY,SALT,EUROPE,161.0,41.5,7513.5,7000.0,337.5,CRETACEOUS
60,SANDSTONE,OIL,COMPRESSION,FORELAND,FORMER SOVIET UNION,161.0,26.25,2960.5,101.0,11.5,NEOGENE
61,DOLOMITE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,14.0,15.0,4089.999999999999,101.0,71.5,NEOGENE
62,SANDSTONE,GAS,COMPRESSION,INTRACRATONIC,NORTH AMERICA,5.3,15.0,6288.5,245.0,29.75,CARBONIFEROUS
63,THINLY-BEDDED SANDSTONE,OIL,EXTENSION,RIFT,EUROPE,361.0,41.5,7513.5,475.0,205.0,CRETACEOUS
64,CHALKY LIMESTONE,GAS-CONDENSATE,GRAVITY,DELTA,NORTH AMERICA,361.0,22.75,4089.999999999999,101.0,71.5,DEVONIAN
65,SANDSTONE,OIL,GRAVITY,DELTA,AFRICA,4350.0,26.25,4089.999999999999,46.5,29.75,TRIASSIC
66,SANDSTONE,OIL,INVERSION,INVERSION,FORMER SOVIET UNION,161.0,17.5,4089.999999999999,245.0,11.5,JURASSIC
67,DOLOMITE,OIL,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,75.0,17.5,10170.0,475.0,205.0,CRETACEOUS
68,LIMESTONE,OIL,GRAVITY,SALT,MIDDLE EAST,14.0,15.0,8763.5,160.0,11.5,CRETACEOUS
69,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,850.0,26.25,2960.5,46.5,11.5,CARBONIFEROUS
70,CHALKY LIMESTONE,OIL,COMPRESSION,FORELAND,MIDDLE EAST,5.3,20.0,10170.0,1152.0,1700.5,CRETACEOUS
71,DOLOMITE,GAS,COMPRESSION,SALT,MIDDLE EAST,35.0,17.5,7513.5,7000.0,140.0,PALEOGENE
72,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,161.0,15.0,15389.0,46.5,11.5,CARBONIFEROUS
73,SANDSTONE,OIL,INVERSION,SALT,EUROPE,161.0,22.75,6288.5,475.0,101.5,PERMIAN
74,SANDSTONE,OIL,COMPRESSION,INVERSION,FORMER SOVIET UNION,361.0,20.0,7513.5,7000.0,337.5,CARBONIFEROUS
75,SANDSTONE,GAS-CONDENSATE,GRAVITY,PASSIVE MARGIN,NORTH AMERICA,5.3,10.15,1320.5,160.0,48.25,CARBONIFEROUS
76,SANDSTONE,OIL,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,361.0,41.5,5153.499999999999,46.5,11.5,TRIASSIC
77,SANDSTONE,OIL,INVERSION,INVERSION,FAR EAST,850.0,22.75,2960.5,245.0,140.0,PROTEROZOIC
78,DOLOMITE,OIL,COMPRESSION,WRENCH,NORTH AMERICA,14.0,12.65,4089.999999999999,101.0,29.75,CARBONIFEROUS
79,LIMESTONE,GAS,COMPRESSION,FORELAND,LATIN AMERICA,5.3,5.05,4089.999999999999,160.0,11.5,PALEOGENE
80,LIMESTONE,OIL,EXTENSION,RIFT,EUROPE,14.0,22.75,5153.499999999999,345.0,101.5,JURASSIC
81,SANDSTONE,GAS,GRAVITY,SALT,NORTH AMERICA,1.305,12.65,2960.5,101.0,29.75,CRETACEOUS
82,DOLOMITE,GAS,COMPRESSION,THRUST,LATIN AMERICA,4350.0,12.65,5153.499999999999,475.0,337.5,NEOGENE
83,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,361.0,22.75,2960.5,101.0,29.75,NEOGENE
84,SANDSTONE,OIL,COMPRESSION,FORELAND,EUROPE,161.0,22.75,2960.5,245.0,29.75,CRETACEOUS
85,DOLOMITIC LIMESTONE,GAS,EXTENSION,RIFT,FAR EAST,5.3,10.15,1320.5,46.5,11.5,PALEOGENE
86,SANDSTONE,OIL,INVERSION,INVERSION,FAR EAST,4350.0,20.0,7513.5,160.0,71.5,CRETACEOUS
87,LIMESTONE,OIL,GRAVITY,DELTA,NORTH AMERICA,75.0,10.15,4089.999999999999,676.9999999999999,48.25,CRETACEOUS
88,SANDSTONE,OIL,COMPRESSION,THRUST,NORTH AMERICA,14.0,12.65,5153.499999999999,245.0,48.25,CRETACEOUS
89,SANDSTONE,OIL,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,161.0,17.5,5153.499999999999,46.5,11.5,NEOGENE
90,CONGLOMERATE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,161.0,10.15,7513.5,46.5,29.75,CARBONIFEROUS
91,CHALK,OIL,GRAVITY,PASSIVE MARGIN,NORTH AMERICA,14.0,26.25,7513.5,345.0,140.0,CARBONIFEROUS
92,DOLOMITE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,35.0,10.15,5153.499999999999,245.0,71.5,JURASSIC
93,DOLOMITE,OIL,EXTENSION,RIFT,FAR EAST,14.0,15.0,5153.499999999999,676.9999999999999,205.0,NEOGENE
94,LIMESTONE,GAS,COMPRESSION,THRUST,NORTH AMERICA,35.0,17.5,5153.499999999999,676.9999999999999,140.0,CRETACEOUS
95,SANDSTONE,OIL,COMPRESSION,INTRACRATONIC,FAR EAST,850.0,17.5,7513.5,676.9999999999999,205.0,NEOGENE
96,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,4350.0,26.25,2960.5,46.5,11.5,JURASSIC
97,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,75.0,20.0,5153.499999999999,46.5,29.75,CARBONIFEROUS
98,DOLOMITE,OIL,STRIKE-SLIP,WRENCH,AFRICA,1.305,5.05,15389.0,245.0,71.5,CRETACEOUS
99,SANDSTONE,GAS,INVERSION,RIFT,EUROPE,35.0,15.0,8763.5,475.0,101.5,JURASSIC
100,LIMESTONE,OIL,TRANSPRESSION,PASSIVE MARGIN,FORMER SOVIET UNION,161.0,22.75,6288.5,7000.0,1700.5,JURASSIC
101,SANDSTONE,OIL,GRAVITY,SALT,EUROPE,4350.0,41.5,5153.499999999999,475.0,48.25,JURASSIC
102,SANDSTONE,OIL,GRAVITY,DELTA,NORTH AMERICA,850.0,41.5,7513.5,475.0,48.25,CRETACEOUS
103,SANDSTONE,OIL,INVERSION,SUB-SALT,EUROPE,850.0,26.25,2960.5,475.0,205.0,CRETACEOUS
104,DOLOMITE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,35.0,15.0,4089.999999999999,1152.0,337.5,CRETACEOUS
105,LIMESTONE,OIL,INVERSION,INVERSION,FAR EAST,4350.0,17.5,2960.5,160.0,29.75,JURASSIC
106,SANDSTONE,OIL,COMPRESSION,SUB-THRUST,NORTH AMERICA,850.0,26.25,2960.5,1152.0,140.0,PERMIAN
107,SANDSTONE,OIL,EXTENSION,INTRACRATONIC,EUROPE,5.3,10.15,8763.5,245.0,71.5,CRETACEOUS
108,SANDSTONE,OIL,COMPRESSION,FORELAND,FORMER SOVIET UNION,35.0,17.5,7513.5,46.5,29.75,CRETACEOUS
109,SANDSTONE,OIL,INVERSION,RIFT,EUROPE,4350.0,41.5,4089.999999999999,1152.0,1700.5,JURASSIC
110,SANDSTONE,GAS,EXTENSION,RIFT,FAR EAST,161.0,15.0,8763.5,245.0,205.0,NEOGENE
111,SANDSTONE,OIL,INVERSION,INVERSION,FAR EAST,850.0,41.5,1320.5,245.0,140.0,PROTEROZOIC
112,DOLOMITE,GAS,GRAVITY,SALT,LATIN AMERICA,4350.0,12.65,10170.0,345.0,337.5,NEOGENE
113,LIMESTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,75.0,5.05,10170.0,245.0,205.0,NEOGENE
114,SANDSTONE,GAS,COMPRESSION,THRUST,NORTH AMERICA,161.0,17.5,15389.0,676.9999999999999,337.5,CARBONIFEROUS
115,SANDSTONE,GAS-CONDENSATE,COMPRESSION,THRUST,FAR EAST,161.0,22.75,7513.5,475.0,140.0,NEOGENE
116,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,161.0,17.5,2960.5,101.0,71.5,CARBONIFEROUS
117,LIMESTONE,GAS,COMPRESSION,THRUST,FAR EAST,4350.0,17.5,15389.0,345.0,71.5,TRIASSIC
118,LIMESTONE,OIL,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,161.0,10.15,1320.5,475.0,337.5,CRETACEOUS
119,SANDSTONE,GAS,COMPRESSION,FORELAND,NORTH AMERICA,1.305,10.15,8763.5,345.0,205.0,CRETACEOUS
120,LIMESTONE,GAS,COMPRESSION,FORELAND,MIDDLE EAST,35.0,17.5,1320.5,160.0,71.5,CRETACEOUS
121,SANDSTONE,OIL,COMPRESSION,SUB-THRUST,NORTH AMERICA,75.0,15.0,7513.5,345.0,101.5,PALEOGENE
122,SANDSTONE,OIL,COMPRESSION,FORELAND,FORMER SOVIET UNION,161.0,20.0,5153.499999999999,46.5,29.75,CRETACEOUS
123,DOLOMITE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,14.0,12.65,5153.499999999999,676.9999999999999,1700.5,PERMIAN
124,SANDSTONE,OIL,COMPRESSION,THRUST,FAR EAST,850.0,20.0,1320.5,160.0,29.75,CRETACEOUS
125,DOLOMITE,GAS-CONDENSATE,EXTENSION,PASSIVE MARGIN,FAR EAST,4350.0,12.65,5153.499999999999,676.9999999999999,140.0,MESOZOIC
126,SANDSTONE,OIL,COMPRESSION,INTRACRATONIC,NORTH AMERICA,361.0,17.5,5153.499999999999,46.5,11.5,CARBONIFEROUS
127,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,35.0,5.05,15389.0,46.5,11.5,CRETACEOUS
128,CHALKY LIMESTONE,OIL,COMPRESSION,INTRACRATONIC,NORTH AMERICA,1.305,10.15,8763.5,1152.0,337.5,JURASSIC
129,SANDSTONE,OIL,EXTENSION,RIFT,EUROPE,161.0,22.75,5153.499999999999,475.0,101.5,JURASSIC
130,LOW-RESISTIVITY SANDSTONE,OIL,COMPRESSION,SALT,MIDDLE EAST,850.0,22.75,2960.5,46.5,48.25,PERMIAN
131,SANDSTONE,OIL,INVERSION,RIFT,FAR EAST,4350.0,26.25,7513.5,1152.0,205.0,CRETACEOUS
132,SANDSTONE,GAS-CONDENSATE,COMPRESSION,FORELAND,FORMER SOVIET UNION,161.0,22.75,15389.0,46.5,71.5,CARBONIFEROUS
133,SANDSTONE,OIL,EXTENSION,RIFT,FAR EAST,850.0,41.5,4089.999999999999,160.0,101.5,ORDOVICIAN
134,LIMESTONE,OIL,GRAVITY,PASSIVE MARGIN,NORTH AMERICA,161.0,20.0,7513.5,101.0,71.5,PERMIAN
135,LIMESTONE,GAS,STRIKE-SLIP,WRENCH,AFRICA,5.3,5.05,6288.5,160.0,48.25,NEOGENE
136,SANDSTONE,GAS,COMPRESSION,FORELAND,FORMER SOVIET UNION,35.0,17.5,15389.0,160.0,71.5,DEVONIAN
137,DOLOMITE,OIL,COMPRESSION,THRUST,MIDDLE EAST,850.0,26.25,4089.999999999999,160.0,101.5,JURASSIC
138,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,850.0,17.5,4089.999999999999,160.0,29.75,PERMIAN
139,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,75.0,15.0,15389.0,101.0,11.5,PERMIAN
140,SHALY SANDSTONE,GAS,COMPRESSION,FORELAND,MIDDLE EAST,75.0,12.65,7513.5,101.0,48.25,JURASSIC
141,SANDSTONE,OIL,EXTENSION,RIFT,NORTH AMERICA,4350.0,22.75,5153.499999999999,676.9999999999999,140.0,CARBONIFEROUS
142,CONGLOMERATE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,161.0,10.15,4089.999999999999,245.0,48.25,NEOGENE
143,DOLOMITIC LIMESTONE,OIL,INVERSION,SALT,EUROPE,1.305,10.15,5153.499999999999,245.0,205.0,JURASSIC
144,CHALK,OIL,COMPRESSION,SUB-SALT,FORMER SOVIET UNION,14.0,17.5,6288.5,475.0,140.0,CARBONIFEROUS
145,SANDSTONE,OIL,GRAVITY,SALT,MIDDLE EAST,850.0,41.5,4089.999999999999,245.0,140.0,CRETACEOUS
146,LIMESTONE,OIL,INVERSION,RIFT,FAR EAST,4350.0,17.5,8763.5,7000.0,140.0,PALEOGENE
147,SANDSTONE,GAS,GRAVITY,PASSIVE MARGIN,NORTH AMERICA,1.305,17.5,8763.5,7000.0,101.5,CRETACEOUS
148,DOLOMITE,OIL,COMPRESSION,THRUST,LATIN AMERICA,14.0,12.65,4089.999999999999,7000.0,1700.5,NEOGENE
149,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,161.0,12.65,5153.499999999999,345.0,71.5,DEVONIAN
150,SANDSTONE,OIL,COMPRESSION,INTRACRATONIC,FAR EAST,361.0,12.65,7513.5,101.0,71.5,TRIASSIC
151,SANDSTONE,OIL,COMPRESSION,WRENCH,NORTH AMERICA,35.0,12.65,5153.499999999999,676.9999999999999,337.5,CRETACEOUS
152,LIMESTONE,OIL,COMPRESSION,INTRACRATONIC,NORTH AMERICA,35.0,10.15,1320.5,160.0,71.5,CRETACEOUS
153,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,75.0,26.25,2960.5,245.0,71.5,CRETACEOUS
154,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,75.0,17.5,4089.999999999999,101.0,48.25,CRETACEOUS
155,SANDSTONE,GAS,GRAVITY,SALT,NORTH AMERICA,5.3,5.05,7513.5,101.0,71.5,JURASSIC
156,SANDSTONE,OIL,EXTENSION,FORELAND,NORTH AMERICA,161.0,17.5,4089.999999999999,101.0,29.75,CRETACEOUS
157,SANDSTONE,OIL,GRAVITY,SUB-SALT,NORTH AMERICA,75.0,12.65,10170.0,1152.0,205.0,JURASSIC
158,SHALY SANDSTONE,GAS,EXTENSION,RIFT,AFRICA,5.3,12.65,2960.5,7000.0,1700.5,NEOGENE
159,LOW-RESISTIVITY SANDSTONE,OIL,INVERSION,INVERSION,FAR EAST,75.0,20.0,8763.5,160.0,11.5,PALEOGENE
160,LIMESTONE,GAS,COMPRESSION,WRENCH,NORTH AMERICA,35.0,22.75,7513.5,160.0,140.0,CRETACEOUS
161,SANDSTONE,OIL,EXTENSION,FORELAND,NORTH AMERICA,850.0,26.25,2960.5,160.0,11.5,CARBONIFEROUS
162,LIMESTONE,OIL,COMPRESSION,INTRACRATONIC,NORTH AMERICA,161.0,22.75,5153.499999999999,345.0,140.0,PALEOGENE
163,LIMESTONE,OIL,GRAVITY,SALT,NORTH AMERICA,35.0,10.15,10170.0,245.0,29.75,DEVONIAN
164,SANDSTONE,OIL,EXTENSION,RIFT,EUROPE,161.0,22.75,7513.5,160.0,29.75,PERMIAN
165,SANDSTONE,GAS,INVERSION,INVERSION,EUROPE,1.305,5.05,15389.0,345.0,29.75,JURASSIC
166,SANDSTONE,OIL,STRIKE-SLIP,WRENCH,AFRICA,4350.0,41.5,1320.5,7000.0,1700.5,CRETACEOUS
167,SANDSTONE,GAS,EXTENSION,RIFT,FAR EAST,850.0,22.75,7513.5,676.9999999999999,337.5,PALEOGENE
168,VOLCANICS,OIL,EXTENSION,INTRACRATONIC,EUROPE,850.0,15.0,8763.5,101.0,71.5,PALEOGENE
169,DOLOMITE,OIL,COMPRESSION,THRUST,FAR EAST,1.305,5.05,8763.5,475.0,29.75,PALEOGENE
170,SANDSTONE,OIL,GRAVITY,SALT,LATIN AMERICA,5.3,17.5,10170.0,160.0,140.0,CRETACEOUS
171,DOLOMITE,OIL,INVERSION,INVERSION,FAR EAST,14.0,10.15,5153.499999999999,676.9999999999999,101.5,CRETACEOUS
172,SANDSTONE,GAS-CONDENSATE,COMPRESSION,WRENCH,NORTH AMERICA,361.0,12.65,6288.5,676.9999999999999,101.5,CARBONIFEROUS
173,SANDSTONE,OIL,EXTENSION,SUB-SALT,AFRICA,361.0,26.25,4089.999999999999,245.0,140.0,NEOGENE
174,DOLOMITE,OIL,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,75.0,10.15,5153.499999999999,46.5,11.5,NEOGENE
175,SANDSTONE,OIL,COMPRESSION,SUB-SALT,FORMER SOVIET UNION,161.0,12.65,10170.0,475.0,1700.5,DEVONIAN
176,LIMESTONE,OIL,GRAVITY,PASSIVE MARGIN,NORTH AMERICA,14.0,10.15,7513.5,101.0,71.5,CRETACEOUS
177,SHALY SANDSTONE,OIL,COMPRESSION,THRUST,FORMER SOVIET UNION,35.0,26.25,4089.999999999999,7000.0,1700.5,CRETACEOUS
178,DOLOMITE,GAS,INVERSION,INVERSION,FAR EAST,1.305,5.05,1320.5,46.5,11.5,NEOGENE
179,SHALY SANDSTONE,OIL,COMPRESSION,SUB-THRUST,NORTH AMERICA,14.0,10.15,4089.999999999999,7000.0,337.5,PERMIAN
180,SANDSTONE,OIL,GRAVITY,PASSIVE MARGIN,NORTH AMERICA,75.0,15.0,8763.5,345.0,101.5,CARBONIFEROUS
181,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,35.0,17.5,2960.5,101.0,48.25,DEVONIAN
182,SANDSTONE,OIL,GRAVITY,SALT,NORTH AMERICA,75.0,17.5,10170.0,475.0,205.0,CARBONIFEROUS
183,SANDSTONE,OIL,COMPRESSION,INTRACRATONIC,NORTH AMERICA,4350.0,26.25,1320.5,46.5,29.75,PALEOGENE
184,SANDSTONE,OIL,COMPRESSION,WRENCH,LATIN AMERICA,361.0,22.75,2960.5,245.0,337.5,NEOGENE
185,DOLOMITE,OIL,INVERSION,INVERSION,FORMER SOVIET UNION,75.0,10.15,5153.499999999999,46.5,11.5,NEOGENE
186,SANDSTONE,OIL,EXTENSION,RIFT,FAR EAST,850.0,22.75,7513.5,1152.0,1700.5,NEOGENE
187,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,161.0,20.0,5153.499999999999,245.0,48.25,CRETACEOUS
188,LIMESTONE,OIL,EXTENSION,RIFT,FAR EAST,1.305,12.65,7513.5,7000.0,71.5,NEOGENE
189,SANDSTONE,OIL,GRAVITY,DELTA,FAR EAST,4350.0,41.5,8763.5,7000.0,1700.5,PALEOGENE
190,LIMESTONE,GAS,COMPRESSION,FORELAND,NORTH AMERICA,35.0,20.0,7513.5,7000.0,1700.5,CRETACEOUS
191,SANDSTONE,OIL,COMPRESSION,SUB-SALT,FORMER SOVIET UNION,35.0,15.0,10170.0,676.9999999999999,1700.5,DEVONIAN
192,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,75.0,22.75,2960.5,46.5,48.25,JURASSIC
193,SANDSTONE,OIL,INVERSION,RIFT,FAR EAST,4350.0,41.5,6288.5,7000.0,1700.5,PALEOGENE
194,SANDSTONE,OIL,INVERSION,SUB-SALT,EUROPE,850.0,26.25,10170.0,160.0,140.0,PERMIAN
195,SANDSTONE,GAS,COMPRESSION,FORELAND,NORTH AMERICA,850.0,17.5,8763.5,46.5,11.5,CARBONIFEROUS
196,SANDSTONE,OIL,COMPRESSION,SUB-THRUST,NORTH AMERICA,75.0,26.25,5153.499999999999,1152.0,1700.5,NEOGENE
197,SANDSTONE,GAS,INVERSION,SALT,EUROPE,75.0,22.75,6288.5,46.5,29.75,CRETACEOUS
198,SANDSTONE,OIL,COMPRESSION,THRUST,FAR EAST,4350.0,41.5,1320.5,7000.0,140.0,PALEOGENE
