,Hydrocarbon_type_(main),Depth_(top_reservoir_ft_TVD),Tectonic_regime,Structural_setting,Region,Thickness_(gross_average_ft),Thickness_(net_pay_average_ft),Reservoir_period,Lithology_(main),Permeability_(air_average_mD),Porosity_(matrix_average_%)
32,OIL,8763.5,COMPRESSION,SALT,MIDDLE EAST,245.0,101.5,JURASSIC,LIMESTONE,75.0,17.5
33,OIL,5153.499999999999,COMPRESSION,SALT,MIDDLE EAST,101.0,71.5,PERMIAN,DOLOMITE,35.0,17.5
34,OIL,4089.999999999999,COMPRESSION,INTRACRATONIC,NORTH AMERICA,46.5,11.5,CARBONIFEROUS,DOLOMITE,35.0,5.05
35,GAS,7513.5,TRANSTENSION,WRENCH,FAR EAST,46.5,48.25,NEOGENE,LIMESTONE,161.0,17.5
36,OIL,4089.999999999999,COMPRESSION,FORELAND,MIDDLE EAST,160.0,48.25,JURASSIC,DOLOMITE,75.0,15.0
37,OIL,7513.5,GRAVITY,PASSIVE MARGIN,NORTH AMERICA,245.0,11.5,CRETACEOUS,SANDSTONE,161.0,17.5
38,OIL,10170.0,COMPRESSION,FORELAND,NORTH AMERICA,160.0,48.25,CARBONIFEROUS,DOLOMITE,35.0,17.5
39,OIL,1320.5,INVERSION,INVERSION,FAR EAST,676.9999999999999,205.0,PALEOGENE,SANDSTONE,14.0,20.0
40,GAS,6288.5,INVERSION,INVERSION,FAR EAST,245.0,101.5,PALEOGENE,SANDSTONE,4350.0,26.25
41,OIL,4089.999999999999,COMPRESSION,FORELAND,NORTH AMERICA,245.0,205.0,DEVONIAN,LIMESTONE,5.3,10.15
42,OIL,4089.999999999999,GRAVITY,SALT,NORTH AMERICA,1152.0,101.5,CRETACEOUS,SANDSTONE,5.3,26.25
43,OIL,10170.0,COMPRESSION,FORELAND,NORTH AMERICA,46.5,48.25,CRETACEOUS,SANDSTONE,161.0,26.25
44,OIL,5153.499999999999,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,345.0,11.5,CRETACEOUS,SANDSTONE,161.0,22.75
45,OIL,10170.0,COMPRESSION,FORELAND,MIDDLE EAST,345.0,101.5,JURASSIC,LIMESTONE,1.305,5.05
46,OIL,10170.0,COMPRESSION,FORELAND,NORTH AMERICA,46.5,29.75,CRETACEOUS,LIMESTONE,1.305,12.65
47,OIL,8763.5,COMPRESSION,SUB-SALT,AFRICA,676.9999999999999,337.5,CRETACEOUS,SANDSTONE,361.0,17.5
48,OIL,15389.0,GRAVITY,SALT,MIDDLE EAST,1152.0,205.0,PERMIAN,DOLOMITE,14.0,26.25
49,OIL,10170.0,COMPRESSION,THRUST,NORTH AMERICA,1152.0,1700.5,NEOGENE,SANDSTONE,1.305,5.05
50,OIL,5153.499999999999,INVERSION,FORELAND,NORTH AMERICA,345.0,140.0,DEVONIAN,DOLOMITE,5.3,5.05
51,GAS,6288.5,INVERSION,RIFT,FAR EAST,101.0,48.25,PALEOGENE,SANDSTONE,35.0,10.15
52,OIL,8763.5,EXTENSION,RIFT,FAR EAST,676.9999999999999,1700.5,PALEOGENE,SANDSTONE,14.0,12.65
53,OIL,4089.999999999999,COMPRESSION,FORELAND,FORMER SOVIET UNION,676.9999999999999,1700.5,DEVONIAN,LIMESTONE,75.0,22.75
54,OIL,8763.5,COMPRESSION,INTRACRATONIC,NORTH AMERICA,676.9999999999999,337.5,CARBONIFEROUS,CONGLOMERATE,75.0,15.0
55,OIL,8763.5,EXTENSION,RIFT,FAR EAST,245.0,205.0,PALEOGENE,SANDSTONE,1.305,5.05
56,OIL,5153.499999999999,STRIKE-SLIP,WRENCH,FAR EAST,676.9999999999999,1700.5,NEOGENE,LIMESTONE,35.0,12.65
57,OIL,7513.5,STRIKE-SLIP,WRENCH,NORTH AMERICA,1152.0,337.5,NEOGENE,SANDSTONE,850.0,17.5
58,OIL,7513.5,COMPRESSION,FORELAND,NORTH AMERICA,1152.0,1700.5,CRETACEOUS,SANDSTONE,1.305,12.65
59,OIL,2960.5,EXTENSION,INTRACRATONIC,NORTH AMERICA,101.0,11.5,CRETACEOUS,SANDSTONE,850.0,41.5
60,OIL,2960.5,EXTENSION,RIFT,EUROPE,475.0,337.5,JURASSIC,SANDSTONE,75.0,22.75
61,OIL,5153.499999999999,COMPRESSION,INTRACRATONIC,NORTH AMERICA,46.5,29.75,CARBONIFEROUS,SHALY SANDSTONE,361.0,20.0
62,OIL,2960.5,COMPRESSION,FORELAND,NORTH AMERICA,160.0,29.75,TRIASSIC,SANDSTONE,4350.0,41.5
63,OIL,2960.5,COMPRESSION,FORELAND,NORTH AMERICA,1152.0,48.25,DEVONIAN,LIMESTONE,14.0,26.25
64,OIL,1320.5,COMPRESSION,FORELAND,NORTH AMERICA,101.0,29.75,TRIASSIC,SANDSTONE,161.0,20.0
65,OIL,4089.999999999999,COMPRESSION,SUB-SALT,FORMER SOVIET UNION,245.0,205.0,CARBONIFEROUS,SANDSTONE,4350.0,22.75
66,OIL,6288.5,EXTENSION,RIFT,FAR EAST,1152.0,101.5,PROTEROZOIC,DOLOMITE,14.0,26.25
67,OIL,5153.499999999999,COMPRESSION,FORELAND,NORTH AMERICA,101.0,11.5,DEVONIAN,SANDSTONE,4350.0,41.5
68,OIL,5153.499999999999,COMPRESSION,INTRACRATONIC,NORTH AMERICA,46.5,11.5,CARBONIFEROUS,DOLOMITE,35.0,20.0
69,GAS,2960.5,GRAVITY,PASSIVE MARGIN,AFRICA,1152.0,205.0,NEOGENE,SANDSTONE,850.0,12.65
70,OIL,4089.999999999999,COMPRESSION,THRUST,NORTH AMERICA,676.9999999999999,337.5,CARBONIFEROUS,DOLOMITE,35.0,12.65
71,OIL,10170.0,COMPRESSION,FORELAND,NORTH AMERICA,475.0,140.0,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,161.0,17.5
72,GAS-CONDENSATE,10170.0,INVERSION,INVERSION,FAR EAST,160.0,29.75,PALEOGENE,SANDSTONE,361.0,20.0
73,GAS,2960.5,COMPRESSION,FORELAND,NORTH AMERICA,46.5,11.5,DEVONIAN,LIMESTONE,75.0,26.25
74,OIL,1320.5,EXTENSION,RIFT,EUROPE,676.9999999999999,205.0,JURASSIC,SANDSTONE,4350.0,26.25
75,GAS,10170.0,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,676.9999999999999,337.5,CRETACEOUS,SANDSTONE,4350.0,41.5
76,OIL,7513.5,COMPRESSION,FORELAND,NORTH AMERICA,46.5,48.25,CRETACEOUS,SANDSTONE,4350.0,41.5
77,GAS,8763.5,COMPRESSION,SUB-THRUST,NORTH AMERICA,101.0,71.5,CARBONIFEROUS,DOLOMITE,5.3,10.15
78,GAS,1320.5,COMPRESSION,FORELAND,NORTH AMERICA,7000.0,1700.5,DEVONIAN,SHALE,14.0,5.05
79,OIL,4089.999999999999,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,245.0,29.75,CRETACEOUS,SANDSTONE,35.0,10.15
80,OIL,2960.5,INVERSION,RIFT,EUROPE,345.0,205.0,PERMIAN,SANDSTONE,850.0,41.5
81,OIL,8763.5,INVERSION,RIFT,AFRICA,101.0,71.5,CAMBRIAN,SANDSTONE,361.0,20.0
82,OIL,4089.999999999999,EXTENSION,RIFT,EUROPE,245.0,101.5,TRIASSIC,SANDSTONE,4350.0,17.5
83,OIL,4089.999999999999,COMPRESSION,THRUST,NORTH AMERICA,676.9999999999999,140.0,CARBONIFEROUS,LIMESTONE,850.0,17.5
84,OIL,10170.0,EXTENSION,RIFT,AFRICA,345.0,140.0,PALEOGENE,LIMESTONE,75.0,26.25
85,GAS,15389.0,INVERSION,INVERSION,FAR EAST,160.0,101.5,PALEOGENE,SILTSTONE,1.305,5.05
86,GAS,8763.5,COMPRESSION,THRUST,MIDDLE EAST,345.0,337.5,CRETACEOUS,LIMESTONE,161.0,10.15
87,GAS-CONDENSATE,15389.0,STRIKE-SLIP,WRENCH,LATIN AMERICA,7000.0,205.0,PALEOGENE,SANDSTONE,850.0,41.5
88,GAS,15389.0,COMPRESSION,INTRACRATONIC,NORTH AMERICA,245.0,205.0,DEVONIAN,SANDSTONE,14.0,10.15
89,OIL,6288.5,COMPRESSION,FORELAND,MIDDLE EAST,7000.0,140.0,CRETACEOUS,CHALKY LIMESTONE,5.3,20.0
90,OIL,6288.5,COMPRESSION,FORELAND,NORTH AMERICA,345.0,48.25,DEVONIAN,DOLOMITE,14.0,12.65
91,OIL,1320.5,COMPRESSION,FORELAND,NORTH AMERICA,46.5,11.5,JURASSIC,SANDSTONE,161.0,10.15
92,OIL,5153.499999999999,COMPRESSION,THRUST,FORMER SOVIET UNION,7000.0,140.0,NEOGENE,SANDSTONE,850.0,17.5
93,OIL,8763.5,COMPRESSION,FORELAND,NORTH AMERICA,46.5,29.75,CRETACEOUS,SANDSTONE,4350.0,20.0
94,OIL,2960.5,COMPRESSION,INTRACRATONIC,NORTH AMERICA,46.5,11.5,TRIASSIC,SANDSTONE,361.0,17.5
95,OIL,5153.499999999999,COMPRESSION,FORELAND,NORTH AMERICA,160.0,71.5,PERMIAN,SANDSTONE,1.305,10.15
96,GAS-CONDENSATE,6288.5,EXTENSION,PASSIVE MARGIN,LATIN AMERICA,7000.0,140.0,PALEOGENE,SANDSTONE,4350.0,41.5
97,OIL,4089.999999999999,COMPRESSION,FORELAND,NORTH AMERICA,7000.0,205.0,PERMIAN,SANDSTONE,1.305,26.25
98,GAS,10170.0,COMPRESSION,FORELAND,NORTH AMERICA,1152.0,71.5,DEVONIAN,DOLOMITE,1.305,5.05
99,OIL,7513.5,INVERSION,RIFT,EUROPE,676.9999999999999,101.5,JURASSIC,SANDSTONE,4350.0,26.25
100,OIL,4089.999999999999,COMPRESSION,INTRACRATONIC,NORTH AMERICA,101.0,71.5,CRETACEOUS,SANDSTONE,4350.0,26.25
101,OIL,8763.5,COMPRESSION,THRUST,NORTH AMERICA,46.5,29.75,CARBONIFEROUS,CONGLOMERATE,161.0,10.15
102,OIL,5153.499999999999,COMPRESSION,FORELAND,NORTH AMERICA,46.5,29.75,PERMIAN,DOLOMITE,5.3,12.65
103,OIL,2960.5,EXTENSION,RIFT,EUROPE,475.0,337.5,JURASSIC,SANDSTONE,4350.0,26.25
104,OIL,10170.0,COMPRESSION,FORELAND,NORTH AMERICA,475.0,337.5,PERMIAN,DOLOMITE,35.0,17.5
105,OIL,2960.5,COMPRESSION,THRUST,EUROPE,1152.0,205.0,TRIASSIC,SANDSTONE,161.0,20.0
106,OIL,5153.499999999999,COMPRESSION,SALT,MIDDLE EAST,7000.0,337.5,CRETACEOUS,SANDSTONE,161.0,17.5
107,OIL,15389.0,EXTENSION,RIFT,FAR EAST,101.0,48.25,NEOGENE,SANDSTONE,4350.0,41.5
108,GAS-CONDENSATE,15389.0,INVERSION,INVERSION,FAR EAST,160.0,11.5,NEOGENE,SANDSTONE,361.0,41.5
109,OIL,4089.999999999999,COMPRESSION,FORELAND,NORTH AMERICA,475.0,337.5,CRETACEOUS,SANDSTONE,361.0,20.0
110,OIL,6288.5,EXTENSION,RIFT,AFRICA,475.0,1700.5,CRETACEOUS,CHALKY LIMESTONE,1.305,12.65
111,GAS-CONDENSATE,15389.0,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,7000.0,337.5,CRETACEOUS,SANDSTONE,35.0,15.0
112,OIL,15389.0,COMPRESSION,FORELAND,MIDDLE EAST,245.0,140.0,CRETACEOUS,CHALKY LIMESTONE,1.305,41.5
113,GAS,4089.999999999999,INVERSION,INVERSION,EUROPE,676.9999999999999,140.0,CRETACEOUS,SANDSTONE,361.0,22.75
114,OIL,2960.5,INVERSION,INVERSION,FAR EAST,245.0,101.5,NEOGENE,SANDSTONE,850.0,26.25
115,OIL,6288.5,COMPRESSION,FORELAND,EUROPE,46.5,11.5,CRETACEOUS,CHALK,1.305,5.05
116,OIL,8763.5,INVERSION,INVERSION,FORMER SOVIET UNION,245.0,205.0,JURASSIC,DOLOMITE,161.0,10.15
117,GAS,15389.0,INVERSION,INVERSION,FAR EAST,345.0,205.0,CRETACEOUS,SANDSTONE,850.0,22.75
118,GAS,10170.0,COMPRESSION,FORELAND,NORTH AMERICA,101.0,29.75,PERMIAN,DOLOMITE,75.0,22.75
119,OIL,4089.999999999999,EXTENSION,RIFT,EUROPE,46.5,11.5,PERMIAN,SANDSTONE,161.0,17.5
120,OIL,4089.999999999999,EXTENSION,SUB-SALT,AFRICA,345.0,29.75,PALEOZOIC,SANDSTONE,850.0,26.25
121,OIL,15389.0,COMPRESSION,FORELAND,NORTH AMERICA,101.0,29.75,PERMIAN,DOLOMITE,5.3,15.0
122,OIL,15389.0,EXTENSION,RIFT,EUROPE,475.0,101.5,JURASSIC,SANDSTONE,850.0,26.25
123,GAS,4089.999999999999,INVERSION,INVERSION,FAR EAST,245.0,205.0,PALEOGENE,SANDSTONE,14.0,12.65
124,GAS,7513.5,COMPRESSION,FORELAND,NORTH AMERICA,7000.0,1700.5,CARBONIFEROUS,DOLOMITE,1.305,12.65
125,OIL,1320.5,EXTENSION,SUB-SALT,AFRICA,676.9999999999999,101.5,NEOGENE,SANDSTONE,361.0,22.75
126,GAS,6288.5,GRAVITY,SALT,NORTH AMERICA,46.5,71.5,JURASSIC,DOLOMITE,361.0,17.5
127,OIL,15389.0,STRIKE-SLIP,INVERSION,FORMER SOVIET UNION,1152.0,1700.5,JURASSIC,DOLOMITE,5.3,15.0
128,OIL,7513.5,INVERSION,INTRACRATONIC,FAR EAST,1152.0,101.5,CRETACEOUS,THINLY-BEDDED SANDSTONE,4350.0,17.5
129,OIL,10170.0,COMPRESSION,THRUST,FAR EAST,160.0,29.75,PALEOGENE,SANDSTONE,161.0,22.75
130,OIL,1320.5,COMPRESSION,FORELAND,NORTH AMERICA,676.9999999999999,1700.5,CRETACEOUS,SANDSTONE,35.0,5.05
131,OIL,2960.5,INVERSION,SUB-SALT,EUROPE,676.9999999999999,48.25,PERMIAN,SANDSTONE,161.0,20.0
132,OIL,6288.5,COMPRESSION,FORELAND,NORTH AMERICA,676.9999999999999,101.5,CRETACEOUS,SANDSTONE,14.0,15.0
133,OIL,4089.999999999999,COMPRESSION,WRENCH,NORTH AMERICA,676.9999999999999,337.5,NEOGENE,LOW-RESISTIVITY SANDSTONE,161.0,22.75
134,OIL,2960.5,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,46.5,29.75,CRETACEOUS,SANDSTONE,75.0,17.5
135,OIL,7513.5,COMPRESSION,FORELAND,NORTH AMERICA,46.5,11.5,PERMIAN,DOLOMITE,1.305,10.15
136,OIL,2960.5,EXTENSION,RIFT,FAR EAST,7000.0,71.5,CRETACEOUS,SANDSTONE,161.0,20.0
137,OIL,5153.499999999999,INVERSION,BACKARC,FAR EAST,160.0,48.25,NEOGENE,SANDSTONE,850.0,41.5
138,OIL,7513.5,COMPRESSION,FORELAND,NORTH AMERICA,46.5,29.75,CRETACEOUS,SANDSTONE,35.0,10.15
139,OIL,6288.5,COMPRESSION,SALT,MIDDLE EAST,160.0,11.5,JURASSIC,LIMESTONE,75.0,10.15
140,OIL,6288.5,COMPRESSION,SUB-SALT,FORMER SOVIET UNION,101.0,11.5,DEVONIAN,SANDSTONE,361.0,20.0
141,OIL,7513.5,COMPRESSION,FORELAND,NORTH AMERICA,245.0,71.5,CRETACEOUS,SANDSTONE,161.0,10.15
142,OIL,4089.999999999999,EXTENSION,RIFT,FAR EAST,160.0,48.25,PALEOGENE,SANDSTONE,4350.0,41.5
143,GAS,6288.5,COMPRESSION,FORELAND,MIDDLE EAST,101.0,11.5,JURASSIC,LIMESTONE,75.0,15.0
144,OIL,1320.5,COMPRESSION,FORELAND,NORTH AMERICA,676.9999999999999,101.5,CRETACEOUS,LIMESTONE,1.305,5.05
145,OIL,15389.0,COMPRESSION,FORELAND,NORTH AMERICA,345.0,205.0,DEVONIAN,DOLOMITE,35.0,20.0
146,OIL,7513.5,EXTENSION,RIFT,AFRICA,475.0,205.0,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,850.0,26.25
147,OIL,10170.0,COMPRESSION,FORELAND,NORTH AMERICA,245.0,48.25,PERMIAN,SANDSTONE,1.305,10.15
148,OIL,5153.499999999999,INVERSION,INVERSION,LATIN AMERICA,7000.0,1700.5,CRETACEOUS,LIMESTONE,35.0,17.5
149,OIL,6288.5,COMPRESSION,SALT,MIDDLE EAST,345.0,48.25,CRETACEOUS,CHALKY LIMESTONE,1.305,5.05
150,OIL,10170.0,STRIKE-SLIP,WRENCH,AFRICA,160.0,71.5,NEOGENE,SANDSTONE,75.0,26.25
151,GAS,10170.0,INVERSION,INVERSION,FORMER SOVIET UNION,1152.0,101.5,NEOGENE,SANDSTONE,4350.0,17.5
152,OIL,6288.5,COMPRESSION,FORELAND,MIDDLE EAST,160.0,11.5,CRETACEOUS,LIMESTONE,161.0,22.75
153,OIL,1320.5,COMPRESSION,FORELAND,NORTH AMERICA,676.9999999999999,140.0,CARBONIFEROUS,CONGLOMERATE,5.3,12.65
154,OIL,7513.5,EXTENSION,RIFT,AFRICA,1152.0,1700.5,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,4350.0,12.65
155,OIL,2960.5,EXTENSION,RIFT,EUROPE,245.0,101.5,CRETACEOUS,SANDSTONE,161.0,10.15
156,GAS,15389.0,COMPRESSION,FORELAND,LATIN AMERICA,7000.0,205.0,NEOGENE,SANDSTONE,4350.0,41.5
157,OIL,10170.0,EXTENSION,SUB-SALT,AFRICA,7000.0,1700.5,TRIASSIC,SANDSTONE,850.0,41.5
158,GAS-CONDENSATE,15389.0,INVERSION,INVERSION,AFRICA,345.0,205.0,CRETACEOUS,CHALKY LIMESTONE,1.305,5.05
159,OIL,8763.5,COMPRESSION,INTRACRATONIC,NORTH AMERICA,475.0,29.75,DEVONIAN,DOLOMITE,75.0,22.75
160,OIL,2960.5,COMPRESSION,FORELAND,NORTH AMERICA,101.0,48.25,CRETACEOUS,SANDSTONE,850.0,41.5
161,OIL,5153.499999999999,COMPRESSION,FORELAND,NORTH AMERICA,245.0,337.5,PERMIAN,DOLOMITE,161.0,22.75
162,GAS-CONDENSATE,15389.0,STRIKE-SLIP,WRENCH,FAR EAST,7000.0,1700.5,JURASSIC,SANDSTONE,75.0,20.0
163,OIL,2960.5,COMPRESSION,SUB-THRUST,NORTH AMERICA,475.0,337.5,CARBONIFEROUS,LIMESTONE,161.0,12.65
164,OIL,6288.5,COMPRESSION,FORELAND,NORTH AMERICA,345.0,101.5,PERMIAN,DOLOMITE,5.3,5.05
165,OIL,4089.999999999999,COMPRESSION,FORELAND,MIDDLE EAST,1152.0,1700.5,PALEOGENE,LIMESTONE,14.0,10.15
166,GAS-CONDENSATE,8763.5,INVERSION,FORELAND,NORTH AMERICA,101.0,48.25,PERMIAN,DOLOMITE,161.0,15.0
167,OIL,5153.499999999999,EXTENSION,RIFT,FAR EAST,676.9999999999999,205.0,PALEOGENE,SANDSTONE,4350.0,26.25
168,GAS-CONDENSATE,4089.999999999999,INVERSION,INVERSION,FAR EAST,7000.0,337.5,PALEOGENE,SILTSTONE,14.0,15.0
169,OIL,2960.5,COMPRESSION,SUB-THRUST,NORTH AMERICA,676.9999999999999,48.25,CRETACEOUS,LIMESTONE,1.305,5.05
170,GAS-CONDENSATE,15389.0,INVERSION,INVERSION,FAR EAST,160.0,48.25,NEOGENE,SANDSTONE,35.0,5.05
171,OIL,2960.5,STRIKE-SLIP,INTRACRATONIC,NORTH AMERICA,345.0,140.0,CARBONIFEROUS,SANDSTONE,75.0,15.0
172,OIL,1320.5,EXTENSION,RIFT,FAR EAST,1152.0,1700.5,ORDOVICIAN,DOLOMITE,5.3,5.05
173,OIL,1320.5,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,345.0,337.5,JURASSIC,DOLOMITE,161.0,15.0
174,OIL,4089.999999999999,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,7000.0,1700.5,CRETACEOUS,SANDSTONE,75.0,20.0
175,METHANE HYDRATE,2960.5,COMPRESSION,SALT,MIDDLE EAST,1152.0,337.5,CRETACEOUS,LIMESTONE,35.0,17.5
176,OIL,8763.5,EXTENSION,INTRACRATONIC,EUROPE,46.5,48.25,JURASSIC,SANDSTONE,1.305,26.25
177,OIL,1320.5,INVERSION,INVERSION,FAR EAST,7000.0,71.5,PALEOGENE,SANDSTONE,850.0,17.5
178,OIL,1320.5,COMPRESSION,THRUST,NORTH AMERICA,345.0,71.5,CARBONIFEROUS,SANDSTONE,4350.0,41.5
179,OIL,8763.5,COMPRESSION,THRUST,FAR EAST,245.0,11.5,CARBONIFEROUS,DOLOMITE,850.0,41.5
180,OIL,10170.0,COMPRESSION,FORELAND,NORTH AMERICA,245.0,48.25,PERMIAN,SANDSTONE,5.3,26.25
181,OIL,8763.5,INVERSION,RIFT,FAR EAST,676.9999999999999,140.0,ARCHEAN,BASEMENT,5.3,17.5
182,OIL,2960.5,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,1152.0,1700.5,PROTEROZOIC,DOLOMITE,14.0,22.75
183,GAS,5153.499999999999,EXTENSION,RIFT,EUROPE,676.9999999999999,1700.5,JURASSIC,SANDSTONE,1.305,41.5
184,OIL,2960.5,COMPRESSION,FORELAND,NORTH AMERICA,7000.0,140.0,PERMIAN,DOLOMITE,14.0,12.65
185,OIL,2960.5,EXTENSION,RIFT,EUROPE,475.0,337.5,JURASSIC,THINLY-BEDDED SANDSTONE,161.0,10.15
186,OIL,8763.5,COMPRESSION,FORELAND,MIDDLE EAST,676.9999999999999,1700.5,PALEOGENE,LIMESTONE,35.0,17.5
187,GAS,1320.5,INVERSION,RIFT,FAR EAST,7000.0,1700.5,PALEOGENE,SANDSTONE,850.0,26.25
188,GAS,10170.0,COMPRESSION,FORELAND,NORTH AMERICA,160.0,11.5,TRIASSIC,SANDSTONE,5.3,5.05
189,GAS,7513.5,GRAVITY,PASSIVE MARGIN,NORTH AMERICA,101.0,48.25,JURASSIC,SANDSTONE,161.0,17.5
190,OIL,8763.5,COMPRESSION,SUB-THRUST,NORTH AMERICA,245.0,205.0,CARBONIFEROUS,LIMESTONE,35.0,15.0
191,OIL,2960.5,GRAVITY,DELTA,NORTH AMERICA,676.9999999999999,337.5,PALEOGENE,SANDSTONE,361.0,17.5
192,OIL,10170.0,COMPRESSION,FORELAND,NORTH AMERICA,345.0,48.25,DEVONIAN,DOLOMITE,14.0,17.5
193,OIL,15389.0,COMPRESSION,SUB-SALT,AFRICA,1152.0,337.5,CRETACEOUS,LIMESTONE,75.0,12.65
194,OIL,7513.5,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,7000.0,1700.5,CRETACEOUS,SANDSTONE,4350.0,41.5
195,OIL,1320.5,COMPRESSION,FORELAND,NORTH AMERICA,160.0,101.5,PERMIAN,DOLOMITE,1.305,5.05
196,GAS,6288.5,COMPRESSION,FORELAND,NORTH AMERICA,345.0,337.5,PERMIAN,DOLOMITE,1.305,5.05
197,OIL,10170.0,GRAVITY,SALT,NORTH AMERICA,101.0,11.5,JURASSIC,SANDSTONE,850.0,26.25
